legacy_id,opportunity_id,opportunity_title_ar,parent_event_id,parent_event_title_ar,domain_id,domain_title_ar,domain_category,event_description,event_environment,event_frequency,event_related_domains,daily_event_id,routine_station_link,legacy_purpose_text,legacy_participation_level,legacy_future_participation_level,legacy_role_scope,legacy_organization_demand,legacy_variation_demand,legacy_classification_reason,legacy_safety_mode,legacy_assistance_levels,legacy_performance_indicators,legacy_independence_mastery,legacy_instructions_before_start,legacy_execution_steps,legacy_make_it_easier,legacy_support_notes,legacy_card_id,legacy_card_count,display_order,status,review_required,source_file_field,source_file,source_row_index,reference_source,framework_validated,resolvable_in_production_boundary,card_pending,superseded_by_framework_reference,normalized_title,has_parent_event,has_title,has_purpose,has_execution_content,has_assistance_fields,has_performance_fields,exact_title_equals_parent_event,matched_tokens,matched_fields
CLO-011-OP001,CLO-011-OP001,فرز الملابس المتسخة قبل الغسيل,CLO-011,فرز الملابس المتسخة قبل الغسيل,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-011,,لتعلّم مهارة التصنيف والانتباه للتفاصيل (اللون والقماش).,moderate,,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,,مراقبة الفرز. الفرز بمساعدة (تصنيف مبدئي). الفرز الكامل المستقل.,دقة التصنيف مع مرور الوقت.,"الانتقال إلى فرصة ""تشغيل دورة غسيل الملابس"".",تجهيز سطح عمل أو مكان مفتوح للفرز.,فصل الملابس الفاتحة عن الداكنة. فصل الأقمشة الحساسة. تجميع كل مجموعة معًا.,استخدام سلال ملوّنة لكل فئة (فاتح/داكن/حساس).,سلال أو علامات ملوّنة للفرز.,CLO-011-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,12,legacy_master,false,true,false,,فرز الملابس المتسخه قبل الغسيل,true,true,true,true,true,true,true,لتعلّم|تعلّم|بمساعدة|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-012-OP001,CLO-012-OP001,تشغيل دورة غسيل الملابس,CLO-012,تشغيل دورة غسيل الملابس,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-012,,لتعلّم استخدام الأجهزة المنزلية واتباع تسلسل خطوات محدد.,advanced,,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,مراقبة التشغيل. المساعدة في خطوة واحدة (مثل إضافة المنظف). تشغيل الدورة كاملة بشكل مستقل.,تنفيذ الخطوات بالترتيب الصحيح دون توجيه.,"الانتقال إلى فرصة ""نشر الملابس لتجفيفها طبيعيًا"" أو ""استخدام مجفف الملابس الكهربائي"".",التأكد من توفر المنظف المناسب. معرفة إعدادات الغسالة الأساسية.,وضع الملابس المفروزة في الغسالة. إضافة المنظف بالكمية المناسبة. اختيار البرنامج المناسب. تشغيل الغسالة.,وضع ملصقات مرقّمة على أزرار الغسالة توضح خطوات التشغيل.,بطاقة خطوات مرقّمة ومصورة لتشغيل الغسالة.,CLO-012-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,13,legacy_master,false,true,false,,تشغيل دوره غسيل الملابس,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-013-OP001,CLO-013-OP001,نشر الملابس لتجفيفها طبيعيًا,CLO-013,نشر الملابس لتجفيفها طبيعيًا,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-013,,لتعلّم مهارة حركية وتنظيمية بسيطة ضمن روتين المنزل.,advanced,,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,المساعدة في تمرير القطع. نشر عدد محدد من القطع. تنفيذ عملية النشر كاملة.,زيادة عدد القطع المنشورة بشكل مستقل.,"الانتقال إلى فرصة ""طي الملابس النظيفة"" بعد الجفاف.",التأكد من توفر مشابك ومكان نشر فارغ.,إخراج الملابس من الغسالة. تعليق كل قطعة على الحبل. تثبيتها بالمشابك.,استخدام حبل بارتفاع مناسب أو منشر أرضي قابل للتعديل.,منشر بارتفاع قابل للتكيف.,CLO-013-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,14,legacy_master,false,true,false,,نشر الملابس لتجفيفها طبيعيا,true,true,true,true,true,true,true,لتعلّم|تعلّم,legacy_purpose_text
CLO-014-OP001,CLO-014-OP001,استخدام مجفف الملابس الكهربائي,CLO-014,استخدام مجفف الملابس الكهربائي,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-014,,لتعلّم التعامل الآمن مع جهاز كهربائي واتباع تعليماته.,moderate,,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,,مراقبة التشغيل. المساعدة بخطوة واحدة. التشغيل المستقل الكامل تحت إشراف عن بُعد للسلامة.,الالتزام بخطوات السلامة أثناء الاستخدام.,"الانتقال إلى فرصة ""طي الملابس النظيفة"".",معرفة أزرار التشغيل الأساسية للمجفف.,وضع الملابس في المجفف. اختيار البرنامج المناسب. تشغيل الجهاز. إخراج الملابس بعد الانتهاء.,ملصقات بسيطة على الأزرار المستخدمة فقط.,بطاقة تعليمات سلامة مبسطة لاستخدام الجهاز.,CLO-014-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,15,legacy_master,false,true,false,,استخدام مجفف الملابس الكهربائي,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-015-OP001,CLO-015-OP001,كي الملابس لإزالة التجاعيد,CLO-015,كي الملابس لإزالة التجاعيد,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-015,,لتعلّم مهارة دقيقة تتطلب حذرًا وتركيزًا مع مراعاة السلامة.,moderate,,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,,المراقبة فقط لأسباب السلامة. المساعدة في تمرير القطع مع إشراف كامل. كي قطع بسيطة تحت إشراف مباشر.,الالتزام التام بتعليمات السلامة أثناء التنفيذ.,"الانتقال إلى فرصة ""تعليق الملابس في الخزانة"".",التأكد من سلامة المكواة والطاولة. وجود إشراف مباشر إلزامي لهذه المهمة.,تجهيز القطعة على طاولة الكي. تسخين المكواة. كي القطعة بحركات منتظمة. تعليقها بعد الانتهاء.,البدء بقطع بسيطة ومسطحة (مناشف) قبل الملابس المعقدة.,بطاقة تعليمات سلامة إلزامية لاستخدام المكواة.,CLO-015-CARD001,1,1,معتمد مبدئيًا,true,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,16,legacy_master,false,true,false,,كي الملابس لازاله التجاعيد,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-016-OP001,CLO-016-OP001,طي الملابس النظيفة,CLO-016,طي الملابس النظيفة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-016,,لتعلّم مهارة حركية دقيقة وتنظيمية تُستخدم يوميًا.,moderate,,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,,مراقبة الطي. طي قطع بسيطة (مناشف/جوارب). طي جميع أنواع الملابس بشكل مستقل.,تحسّن دقة وسرعة الطي.,"الانتقال إلى فرصة ""تعليق الملابس في الخزانة"" أو تخزينها.",تجهيز سطح مستوٍ وواسع للطي.,فرد القطعة على السطح. طي الأكمام أو الجوانب. طي القطعة إلى الحجم النهائي. تجميع القطع المطوية معًا.,استخدام قالب طي كرتوني بسيط كمرجع بصري.,قالب طي بصري مبسط.,CLO-016-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,17,legacy_master,false,true,false,,طي الملابس النظيفه,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة,legacy_purpose_text|legacy_assistance_levels
CLO-017-OP001,CLO-017-OP001,تعليق الملابس في الخزانة,CLO-017,تعليق الملابس في الخزانة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-017,,لتعلّم ترتيب الممتلكات الشخصية والحفاظ على شكل الملابس.,moderate,,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,,المساعدة في التعليق. تعليق عدد محدد من القطع. تعليق جميع القطع بشكل مستقل.,انخفاض عدد القطع المعلّقة بشكل غير صحيح.,"الارتباط بفرصة ""ترتيب وإعادة تنظيم خزانة الملابس"".",التأكد من إمكانية الوصول لعلاقات الخزانة.,أخذ العلاقة المناسبة. تعليق القطعة عليها بشكل مستقيم. وضعها في مكانها بالخزانة.,خفض قضيب التعليق ليكون في متناول اليد.,قضيب تعليق بارتفاع قابل للتعديل.,CLO-017-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,18,legacy_master,false,true,false,,تعليق الملابس في الخزانه,true,true,true,true,true,true,true,لتعلّم|تعلّم,legacy_purpose_text
CLO-018-OP001,CLO-018-OP001,ترتيب وإعادة تنظيم خزانة الملابس,CLO-018,ترتيب وإعادة تنظيم خزانة الملابس,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-018,,لتعلّم مهارات التنظيم واتخاذ قرارات حول ما يُحتفظ به وما يُستبعد.,advanced,,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,المساعدة في جزء من الخزانة. تنظيم قسم كامل محدد. تنظيم الخزانة بأكملها.,القدرة على إيجاد القطع بسهولة بعد الترتيب.,"الارتباط بفرصة ""تخزين الملابس الموسمية"".",تخصيص وقت كافٍ دون استعجال.,إخراج جميع المحتويات. فرزها حسب النوع أو الموسم. إعادة ترتيبها في أماكنها.,تقسيم المهمة على جلسات قصيرة بدلًا من جلسة واحدة طويلة.,قائمة تحقق لخطوات إعادة التنظيم.,CLO-018-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,19,legacy_master,false,true,false,,ترتيب واعاده تنظيم خزانه الملابس,true,true,true,true,true,true,true,لتعلّم|تعلّم,legacy_purpose_text
CLO-019-OP001,CLO-019-OP001,البحث عن قطعة ملابس مفقودة أو مختبئة,CLO-019,البحث عن قطعة ملابس مفقودة أو مختبئة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-019,,لتعلّم مهارة حل المشكلات والتفكير المنظم في أماكن البحث المحتملة.,advanced,,advanced,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,,المرافقة أثناء البحث. البحث في مكان واحد محدد. تنظيم عملية البحث الكاملة بمفرده.,تقليل زمن العثور على القطعة.,"الارتباط بفرصة ""ترتيب وإعادة تنظيم خزانة الملابس"" لتقليل تكرار الفقدان.",تحديد آخر مكان استُخدمت فيه القطعة إن أمكن.,البحث في الخزانة أولًا. البحث في سلة الغسيل. توسيع البحث لأماكن أخرى بالمنزل.,استخدام قائمة أماكن محتملة مرتبة بالأولوية.,قائمة أماكن بحث مرتبة.,CLO-019-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,20,legacy_master,false,true,false,,البحث عن قطعه ملابس مفقوده او مختبئه,true,true,true,true,true,true,true,لتعلّم|تعلّم|بمفرده,legacy_purpose_text|legacy_assistance_levels
CLO-020-OP001,CLO-020-OP001,تصليح ملابس ممزقة أو تالفة,CLO-020,تصليح ملابس ممزقة أو تالفة,DOM-CLO,الملابس والعناية بها,منزلي,,,,,CLO-020,,لتعلّم مهارة يدوية دقيقة والمساهمة في إطالة عمر الأغراض.,advanced,,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,,المراقبة فقط لأسباب السلامة. المساعدة في تمرير الخيط. تنفيذ إصلاح بسيط تحت إشراف مباشر.,تحسّن ثبات الغرز مع الوقت.,"الارتباط بفرصة ""تبديل أزرار مفقودة أو تالفة"".",تجهيز أدوات الخياطة الأساسية بإشراف.,تحديد موقع التمزق. تجهيز الإبرة والخيط بمساعدة. خياطة التمزق ببطء. فحص النتيجة.,البدء بغرز بسيطة كبيرة قبل الانتقال لغرز دقيقة.,بطاقة تعليمات سلامة لاستخدام الإبرة.,CLO-020-CARD001,1,1,معتمد مبدئيًا,false,Pasted markdown(20).md,src/data/knowledge/03_participation_opportunities.csv,21,legacy_master,false,true,false,,تصليح ملابس ممزقه او تالفه,true,true,true,true,true,true,true,لتعلّم|تعلّم|مراقبة|بمساعدة,legacy_purpose_text|legacy_assistance_levels|legacy_execution_steps
