review_group,candidate_id,domain,title,complexity_level,source_artifact,participation_opportunity,life_context_clear,role_meaning_clear,natural_completion_clear,forbidden_language_absent,scope_appropriate,decision,notes
"RECHECK","FP-WAVE-A-005","الملابس والعناية بها","فرز الملابس المتسخة قبل الغسيل","moderate","","نعم","نعم","نعم","جزئي","نعم","نعم","ACCEPT","كلمة 'مهارة' أُزيلت فعليًا من functional_intent - السؤال المحدد المطلوب تحققه نجح. لكن observable_effect وstandalone_role_meaning ما زالا يحملان تكرارًا حرفيًا قديمًا ('فرز الملابس... ضمن فرز الملابس...') لم يُصحَّح؛ عيب تجميلي متبقٍ."
"RECHECK","FP-WAVE-A-007","الملابس والعناية بها","فرز جزء من ملابس الخزانة حسب النوع","moderate","","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","النطاق أصبح جزئيًا ومشتركًا فعلاً: العنوان والسياق و functional_intent كلها تنص صراحة على جزء صغير محدد وليس الخزانة كاملة. participation_mode تحول من individual إلى shared، والتعقيد من advanced إلى moderate. تصحيح كامل ومقنع."
"EXPANSION","FP-CAND-002","إعداد الطعام والوجبات","تجهيز ما يلزم لتقديم الغداء","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT",""
"EXPANSION","FP-CAND-004","إعداد الطعام والوجبات","تجهيز تقديم المشروبات الساخنة","simple","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT",""
"EXPANSION","FP-CAND-009","التسوق وإدارة المشتريات","إعداد قائمة المشتريات","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT",""
"EXPANSION","FP-CAND-012","التسوق وإدارة المشتريات","تجهيز الخضار والفواكه المختارة للشراء","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","'اختيار الثمار السليمة والناضجة' فحص جودة عملي طبيعي ضمن التسوق، وليس تقييم أداء - نظير مقبول لـFP-WAVE-A-010."
"EXPANSION","FP-CAND-014","التسوق وإدارة المشتريات","اختيار وتجميع المنتجات المجمدة للشراء","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT",""
"EXPANSION","FP-CAND-016","إدارة المنزل","إعادة غرفة المعيشة إلى حالة مرتبة","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","لا","REVISE_SCOPE","نمط جديد متكرر: البطاقة تجمع 4-5 أفعال فرعية (وسائد/طاولة/أجهزة تحكم/أكواب/مجلات) في دور واحد يغطي كامل ترتيب الغرفة دون أي إشارة لتقسيم مع أفراد آخرين، رغم أن participation_mode=shared. هذا نفس نمط المشكلة الذي عولج في WAVE-A-007 (خزانة الملابس) لكنه لم يُطبَّق هنا. يحتاج تضييق لجزء محدد (مثال: ترتيب الطاولة الوسطية وجمع الأكواب فقط) مع ترك بقية الغرفة صراحة لأفراد آخرين."
"EXPANSION","FP-CAND-019","إدارة المنزل","تنظيم محتويات خزانة المؤن","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","بطاقة شقيقة لـFP-WAVE-A-009 (نفس الحدث HOME-052)، تغطي شريحة مختلفة ومحدودة (التخلص من التالف + ترتيب حسب النوع) - نطاق مماثل لبطاقة مقبولة سابقًا، ليس استيلاءً على الخزانة كاملة."
"EXPANSION","FP-CAND-021","الأنشطة والمشاركة المجتمعية","المساهمة في تجهيز شيء للزيارة العائلية","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","جزئي","جزئي","نعم","نعم","REVISE_WORDING","execution_blocks غامضة: 'شيء بسيط' و'المساعدة أثناء الزيارة' غير محددين - لا تصف فعلاً ملموسًا يمكن تخيل نهايته. تحتاج تحديد مثال فعلي (مثال: تحضير طبق حلوى بسيط / المساعدة في تقديم الضيافة للضيوف)."
"EXPANSION","FP-CAND-026","الصحة والمواعيد","تجهيز ملف المستندات للموعد","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","لا توجد لغة تشخيص رغم الموضوع الطبي - نظيفة. علم CAUTION موروث يستحق انتباه المراجع بخصوص خصوصية صور الأشعة/التقارير، وليس اعتراضًا لغويًا."
"EXPANSION","FP-WAVE-A-002","الصحة والمواعيد","تسجيل موعد الزيارة في التقويم","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","نعم","نعم","نعم","جزئي","نعم","نعم","ACCEPT","نفس عيب الصياغة القالبية التجميلية الموجود في WAVE-A-005 ('X ضمن X') - غير مانع للقبول لكنه يؤكد أن هذا النمط عابر لعدة بطاقات WAVE-A وليس حالة معزولة."
"EXPANSION","FP-WAVE-A-006","الملابس والعناية بها","طي الملابس النظيفة","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","نعم","لا","نعم","جزئي","نعم","نعم","REVISE_CONTEXT","life_context يحمل تكرارًا حرفيًا غير مصحح: 'أثناء طي الملابس النظيفة، طي الملابس النظيفة.' - لا يحدد اللحظة الفعلية (بعد الغسيل والتجفيف؟). execution_blocks نفسها ممتازة وملموسة."
"EXPANSION","FP-WAVE-A-008","الملابس والعناية بها","إخراج الملابس الموسمية من التخزين","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","نعم","لا","نعم","جزئي","نعم","نعم","REVISE_CONTEXT","نفس عيب التكرار الحرفي في life_context: 'أثناء إخراج الملابس الموسمية من التخزين، إخراج الملابس الموسمية من التخزين.' يؤكد أن هذا نمط نظامي متكرر عبر عدة بطاقات WAVE-A، وليس عيبًا معزولًا في بطاقة واحدة."
"EDGE","FP-CAND-026","الصحة والمواعيد","تجهيز ملف المستندات للموعد","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","لا انزلاق نحو لغة تشخيص رغم حساسية الموضوع الطبي."
"EDGE","FP-WAVE-A-001","الصحة والمواعيد","البحث عن رقم العيادة","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","لا انزلاق نحو لغة تشخيص أو علاج."
"EDGE","FP-WAVE-A-012","الأنشطة والمشاركة المجتمعية","تعبئة بيانات العنوان على الطرد","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","التفاعل مع موظف البريد لم يتحول للغة تدريب تواصل - يبقى مشاركة وظيفية طبيعية."
"EDGE","FP-CAND-023","الأنشطة والمشاركة المجتمعية","اختيار وطلب وجبة في المطعم","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","تفاعل مع نادل بصياغة وظيفية مباشرة ('إبلاغ النادل بالطلب') دون أي إطار 'تدريب مهارات اجتماعية' - يجتاز بوضوح اختبار الانزلاق المفاهيمي في سياق التعامل مع الموظفين."
"EDGE","FP-WAVE-A-007","الملابس والعناية بها","فرز جزء من ملابس الخزانة حسب النوع","moderate","DALILI_CONTROLLED_EXPANSION_WAVE_A_12_CANDIDATES_01","نعم","نعم","نعم","نعم","نعم","نعم","ACCEPT","نفس نتيجة RECHECK: النطاق بعد التصحيح جزئي ومشترك فعلاً، لا ينزلق لمهمة فردية كاملة."
"EDGE","FP-CAND-028","الملابس والعناية بها","استلام طلب ملابس للأسرة","moderate","DALILI_CANDIDATE_LIBRARY_03_PRODUCTION_CONTRACT_COMPLETE","نعم","نعم","نعم","نعم","نعم","نعم","REVISE_WORDING","execution_block الوحيد مطابق حرفيًا للعنوان ولسياق الحياة ('استلام طلب ملابس عبر الإنترنت') - لا يفكك الفعل لخطوات فعلية ملموسة (فتح الباب/استلام الطرد من المندوب/التحقق من الاسم على الصندوق). ليس انحرافًا مفاهيميًا (لا استقلالية/لا أداء) بل بطاقة رقيقة جدًا تحتاج تفصيلاً."
