service_id,provider_id,service_domain,service_name_ar,target_age_if_stated,service_completeness,user_priority,confidence_level,access_method,service_scope,is_active,featured,display_order,last_verified,verification_status,updated_at
S_020,P_020,Special Education,رعاية وتأهيل أصحاب الهمم,All Ages,PARTIAL,MEDIUM,SECONDARY ONLY,Visit,Emirate,true,false,3,2026-08-09,UNVERIFIED,2026-08-09
S_021,P_021,Special Education,رعاية وتأهيل أصحاب الهمم,All Ages,PARTIAL,MEDIUM,SECONDARY ONLY,Visit,Emirate,true,false,4,2026-08-09,UNVERIFIED,2026-08-09
S_022,P_022,Higher Education,مراكز دعم الطلبة أصحاب الهمم (SAS),Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,City,true,true,2,2026-08-09,VERIFIED,2026-08-09
S_023,P_023,Higher Education,إدارة تسهيلات الطلاب (Student Accessibility Services),Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Federal,true,true,3,2026-08-09,VERIFIED,2026-08-09
S_024,P_024,Higher Education,خدمات الدمج الطلابي (تكنولوجيا مساندة وتوجيه),Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Federal,true,true,4,2026-08-09,VERIFIED,2026-08-09
S_025,P_025,Higher Education,مركز الموارد لذوي الإعاقة (Disability Resource Center),Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Visit,City,true,true,5,2026-08-09,VERIFIED,2026-08-09
S_026,P_026,Vocational Education,منصة توظيف أصحاب الهمم (التوظيف الدامج),Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Online,Federal,true,true,5,2026-08-09,VERIFIED,2026-08-09
S_027,P_027,Transition Services,برامج التخطيط للانتقال والتوظيف,15-25,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Federal,true,true,2,2026-08-09,VERIFIED,2026-08-09
S_028,P_028,Vocational Education,التوظيف الدامج والتدريب لبيئة العمل,Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Online,Federal,true,true,6,2026-08-09,VERIFIED,2026-08-09
S_029,P_029,Sports,المشاركة الرياضية والمجتمعية,Adults/Youth,COMPLETE,MEDIUM,PRIMARY VERIFIED,Visit,Emirate,true,false,2,2026-08-09,VERIFIED,2026-08-09
S_030,P_030,Sports,المشاركة الرياضية في الساحل الشرقي,Adults/Youth,COMPLETE,MEDIUM,PRIMARY VERIFIED,Visit,Emirate,true,false,3,2026-08-09,VERIFIED,2026-08-09
S_031,P_031,Family / Peer Support,التوجيه والدعم (Advocacy) لأصحاب الهمم,Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Federal,true,true,2,2026-08-09,VERIFIED,2026-08-09
S_032,P_032,Family / Peer Support,مجموعات دعم الأقران والبالغين ذوي التوحد وأسرهم,Adults/Youth,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,Federal,true,true,3,2026-08-09,VERIFIED,2026-08-09
S_033,P_033,Vocational Education,التأهيل المهني والمشاركة المجتمعية لمتلازمة داون,Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Visit,City,true,true,7,2026-08-09,VERIFIED,2026-08-09
S_034,P_034,Culture,جولات المتاحف الميسرة (خرائط حسية ومسارات),All Ages,COMPLETE,MEDIUM,PRIMARY VERIFIED,Visit,City,true,false,1,2026-08-09,VERIFIED,2026-08-09
S_035,P_035,Vocational Education,التوظيف الدامج والمشاريع التجارية المنزلية الزراعية,Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Mixed,City,true,true,8,2026-08-09,VERIFIED,2026-08-09
S_036,P_036,Vocational Education,برنامج سمايلز للتدريب المهني (Smiles Bakeshop),Youth/Adults,COMPLETE,HIGH,PRIMARY VERIFIED,Visit,City,true,true,9,2026-08-09,VERIFIED,2026-08-09
