resource_id,title_ar,resource_type,publisher,target_audience,quality_notes,confidence_level,service_completeness,official_url,is_active,featured,display_order,last_verified,verification_status,updated_at
R_024,أداة الإقامة الوظيفية (JAN - Job Accommodation Network),Learning Platform,JAN Network,الشباب العاملون,منصة للبحث عن الترتيبات المناسبة لكل نوع إعاقة,PRIMARY VERIFIED,COMPLETE,https://askjan.org/,true,true,24,2026-08-09,VERIFIED,2026-08-09
R_025,قائمة تنظيم الفعاليات الدامجة والميسرة,Template / Checklist,W3C WAI,المهنيون والمجتمع,نموذج لتنظيم لقاءات ومؤتمرات مهيأة بالكامل,PRIMARY VERIFIED,COMPLETE,https://www.w3.org/WAI/tutorials/,true,true,25,2026-08-09,VERIFIED,2026-08-09
R_026,دليل الخدمات المصرفية الميسرة,Toolkit / Guide,اتحاد مصارف الإمارات,البالغون,دليل سياسات تمكين الوصول للخدمات المالية,PRIMARY VERIFIED,COMPLETE,https://www.uaebf.ae/,true,true,26,2026-08-09,VERIFIED,2026-08-09
R_027,أساسيات إمكانية الوصول للويب (WAI),Video Series,W3C,الشباب والمهنيون,فيديوهات قصيرة حول كيفية عمل التقنيات المساندة,PRIMARY VERIFIED,COMPLETE,https://www.w3.org/WAI/,true,true,27,2026-08-09,VERIFIED,2026-08-09
R_028,إرشادات الانتقال للحياة المستقلة,Video Webinar,National Technical Assistance Center on Transition (NTACT),الأسر,سلسلة ويبينار مسجلة حول تخطيط المستقبل,PRIMARY VERIFIED,COMPLETE,https://transitionta.org/,true,true,28,2026-08-09,VERIFIED,2026-08-09
R_029,قرار تنظيم بيئة العمل الدامجة لأصحاب الهمم,Policy / Rights Reference,وزارة الموارد البشرية (MOHRE),الشباب العاملون,المرجع القانوني لحقوق الموظفين في القطاع الخاص,PRIMARY VERIFIED,COMPLETE,https://www.mohre.gov.ae/,true,true,29,2026-08-09,VERIFIED,2026-08-09
R_030,نموذج جواز السفر الصحي والتواصلي (Hospital Passport),Template,مختلف الجهات الصحية,البالغون ذوو الاحتياجات التواصلية,قالب يملؤه الشاب لعرض احتياجاته للكوادر الطبية,PRIMARY VERIFIED,COMPLETE,https://www.autism.org.uk/advice-and-guidance/topics/physical-health/my-health-passport,true,true,30,2026-08-09,VERIFIED,2026-08-09
R_031,دورة: التكنولوجيا المساندة في مكان العمل,Course / Self-learning,FutureLearn,الشباب الباحثون عن عمل,التعرف على الأدوات لزيادة الإنتاجية الوظيفية,PRIMARY VERIFIED,COMPLETE,https://www.futurelearn.com/,true,true,31,2026-08-09,VERIFIED,2026-08-09
R_032,دليل النقل الميسر للسياح والمقيمين,Toolkit / Guide,RTA Dubai,الجميع,ملف ارشادي لحقوق الوصول بالمواصلات بدبي,PRIMARY VERIFIED,COMPLETE,https://www.rta.ae/,true,true,32,2026-08-09,VERIFIED,2026-08-09
R_033,منهج الاستقلالية المالية لأصحاب الهمم,Toolkit / Guide,Understood.org,الشباب البالغون,أدوات تخطيط مالي وميزانيات مبسطة,PRIMARY VERIFIED,COMPLETE,https://www.understood.org/,true,true,33,2026-08-09,VERIFIED,2026-08-09
R_034,دليل إرشاد الأقران (Peer Mentoring Guide),Toolkit / Guide,SEDRA Foundation,الشباب,كيف تبني وتشارك في مجموعات دعم الأقران,PRIMARY VERIFIED,COMPLETE,https://sedra.org/resources/,true,true,34,2026-08-09,VERIFIED,2026-08-09
R_035,قائمة مراجعة الانتقال من المدرسة,Checklist,Understood.org,الأسر,قائمة بالخطوات القانونية والعملية قبل التخرج,PRIMARY VERIFIED,COMPLETE,https://www.understood.org/,true,true,35,2026-08-09,VERIFIED,2026-08-09
R_036,منصة تدريب المهارات التكنولوجية (Hemam),Learning Platform,Zayed Higher Organization,الشباب,منصة إلكترونية تعليمية للمهارات الحياتية والتقنية,PRIMARY VERIFIED,COMPLETE,https://zho.gov.ae/,true,true,36,2026-08-09,VERIFIED,2026-08-09
R_037,دليل ريادة الأعمال الشاملة,Toolkit / Guide,Enable (Desert Group),الشباب ذوي الإعاقة,تأسيس المشاريع المنزلية للبالغين ذوي الإعاقات الذهنية,PRIMARY VERIFIED,COMPLETE,https://enable.ae/,true,true,37,2026-08-09,VERIFIED,2026-08-09
R_038,أدوات الوصول المعرفي (Cognitive Accessibility),Toolkit / Guide,W3C WAI,المهنيون والأسر,صناعة محتوى سهل القراءة والفهم (Easy Read),PRIMARY VERIFIED,COMPLETE,https://www.w3.org/WAI/cognitive/,true,true,38,2026-08-09,VERIFIED,2026-08-09
R_039,دليل الانتقال للبالغين: السكن المدعوم,Toolkit / Guide,Autism Speaks,الأسر,خيارات الاستقلالية السكنية للبالغين,PRIMARY VERIFIED,COMPLETE,https://www.autismspeaks.org/tool-kit/housing-and-residential-supports-tool-kit,true,true,39,2026-08-09,VERIFIED,2026-08-09
R_040,قالب: خطة الانتقال الفردية (ITP),Template,NTACT/TransitionTA,الأسر والمهنيون,نموذج/مرجع لخطة ما بعد التخرج,PRIMARY VERIFIED,COMPLETE,https://transitionta.org/,true,true,40,2026-08-09,VERIFIED,2026-08-09
R_041,أدلة التواصل البديل (AAC) للبالغين,Video Series,Tobii Dynavox,البالغون والأسر,التدريب على أجهزة التواصل المتقدمة للعمل,PRIMARY VERIFIED,COMPLETE,https://ar.tobiidynavox.com/,true,true,41,2026-08-09,VERIFIED,2026-08-09
R_042,تطبيق إمكانية الوصول المكاني (Wheelmap),Digital Tool / App,Wheelmap,المجتمع,خريطة تفاعلية للبحث عن مرافق ميسرة كراسي متحركة,PRIMARY VERIFIED,COMPLETE,https://wheelmap.org/,true,true,42,2026-08-09,VERIFIED,2026-08-09
R_043,دليل دعم الصحة النفسية للشباب ذوي التوحد,Toolkit / Guide,Autism Speaks,الأسر,فهم تحديات القلق والاكتئاب للشباب/البالغين ذوي التوحد,PRIMARY VERIFIED,COMPLETE,https://www.autismspeaks.org/tool-kit/mental-health-guide-autism,true,true,43,2026-08-09,VERIFIED,2026-08-09
