event_id,domain_id,event_name,description,environment,frequency,related_domains,display_order,status,source_file
CLO-045,DOM-CLO,تخزين وترتيب الإكسسوارات (أحزمة، أوشحة، ربطات),,,,,45,معتمد مبدئيًا,Pasted markdown(20).md
CLO-046,DOM-CLO,اختيار إكسسوارات مناسبة للملابس المرتداة,,,,,46,معتمد مبدئيًا,Pasted markdown(20).md
CLO-047,DOM-CLO,تغيير ملابس الطفل بعد الحادثات (التبول/التبرز),,,,,47,معتمد مبدئيًا,Pasted markdown(20).md
CLO-048,DOM-CLO,غسل ملابس الأطفال الرضع بشكل منفصل,,,,,48,معتمد مبدئيًا,Pasted markdown(20).md
CLO-049,DOM-CLO,ترتيب ملابس الأطفال حسب العمر والمقاس,,,,,49,معتمد مبدئيًا,Pasted markdown(20).md
CLO-050,DOM-CLO,تفقد مقاسات الملابس وتحديثها مع نمو الأطفال,,,,,50,معتمد مبدئيًا,Pasted markdown(20).md
COMM-001,DOM-COMM,الذهاب إلى المسجد أو دار العبادة,زيارة المسجد أو الكنيسة أو دار العبادة للصلاة أو المشاركة الدينية,مسجد / دار عبادة,أسبوعيًا,العلاقات الاجتماعية، التنقل,1,معتمد مبدئيًا,community_events_assistant_1
COMM-002,DOM-COMM,زيارة الحديقة العامة,قضاء وقت في الحديقة العامة للاسترخاء أو المشي أو الترفيه,حديقة عامة,أسبوعيًا,الصحة، الترفيه، التنقل,2,معتمد مبدئيًا,community_events_assistant_1
COMM-003,DOM-COMM,المشي في الحي أو الممرات العامة,التجوال مشيًا في أرجاء الحي أو الشوارع المحيطة بالمنزل,شوارع الحي,يوميًا,الصحة، التنقل,3,معتمد مبدئيًا,community_events_assistant_1
COMM-004,DOM-COMM,زيارة أحد الأقارب في منزله,الذهاب لمنزل قريب أو صديق للعائلة للزيارة والتواصل,منزل قريب,شهريًا,العلاقات الاجتماعية، التنقل,4,معتمد مبدئيًا,community_events_assistant_1
COMM-005,DOM-COMM,لقاء أسري خارج المنزل,مقابلة أفراد الأسرة في مكان عام كمطعم أو حديقة أو مقهى,مطعم / حديقة / مقهى,شهريًا,العلاقات الاجتماعية، التنقل,5,معتمد مبدئيًا,community_events_assistant_1
COMM-006,DOM-COMM,الذهاب إلى مقهى,الجلوس في مقهى لشرب القهوة أو الاجتماع بالآخرين,مقهى,شهريًا,العلاقات الاجتماعية، الترفيه، التنقل,6,معتمد مبدئيًا,community_events_assistant_1
COMM-007,DOM-COMM,تناول وجبة في مطعم,تناول الطعام داخل مطعم أو محل وجبات جاهزة,مطعم,شهريًا,العلاقات الاجتماعية، إدارة المال، التنقل,7,معتمد مبدئيًا,community_events_assistant_1
COMM-008,DOM-COMM,استلام طعام خارجي من مطعم,الذهاب لمطعم لاستلام وجبة تم طلبها هاتفيًا أو رقميًا,مطعم,أسبوعيًا,التنقل، إدارة المال,8,معتمد مبدئيًا,community_events_assistant_1
COMM-009,DOM-COMM,زيارة المكتبة العامة,الدخول إلى المكتبة العامة لتصفح الكتب أو القراءة أو الاستفادة من المرافق,مكتبة عامة,شهريًا,الترفيه، التنقل,9,معتمد مبدئيًا,community_events_assistant_1
COMM-010,DOM-COMM,استعارة كتاب من المكتبة العامة,اختيار كتاب واستعارته من المكتبة العامة وفق الإجراءات المتبعة,مكتبة عامة,شهريًا,الترفيه، التنقل,10,معتمد مبدئيًا,community_events_assistant_1
COMM-011,DOM-COMM,إعادة كتاب مستعار إلى المكتبة,تسليم الكتاب المستعار قبل أو في موعد استحقاقه,مكتبة عامة,شهريًا,الترفيه، التنقل,11,معتمد مبدئيًا,community_events_assistant_1
COMM-012,DOM-COMM,حضور فعالية ثقافية,حضور محاضرة أو حفل موسيقي أو نشاط ثقافي في مكان عام,مركز ثقافي / مسرح,موسميًا,الترفيه، العلاقات الاجتماعية، التنقل,12,معتمد مبدئيًا,community_events_assistant_1
COMM-013,DOM-COMM,حضور معرض أو مهرجان,زيارة معرض فني أو تجاري أو مهرجان محلي أو دولي,مركز معارض / ساحة عامة,موسميًا,الترفيه، إدارة المال، التنقل,13,معتمد مبدئيًا,community_events_assistant_1
COMM-014,DOM-COMM,الذهاب إلى السينما أو المسرح,مشاهدة فيلم أو مسرحية في قاعة عرض عامة,سينما / مسرح,شهريًا,الترفيه، العلاقات الاجتماعية، التنقل,14,معتمد مبدئيًا,community_events_assistant_1
COMM-015,DOM-COMM,زيارة متحف أو مركز تراثي,التجول في متحف أو مركز تراثي للاطلاع على المقتنيات والتاريخ,متحف / مركز تراثي,موسميًا,الترفيه، التنقل,15,معتمد مبدئيًا,community_events_assistant_1
COMM-016,DOM-COMM,الاشتراك في نادٍ رياضي أو صحي,زيارة النادي وتسجيل الاشتراك أو تجديد العضوية,نادي رياضي,شهريًا/سنويًا,الصحة، إدارة المال، التنقل,16,معتمد مبدئيًا,community_events_assistant_1
COMM-017,DOM-COMM,حضور تمرين رياضي منظم,المشاركة في حصة تمرين أو نشاط رياضي داخل نادٍ أو مركز,نادي رياضي / مركز,أسبوعيًا,الصحة، التنقل,17,معتمد مبدئيًا,community_events_assistant_1
COMM-018,DOM-COMM,استخدام مرافق رياضية عامة,ممارسة رياضة في ملعب أو مضمار أو مرافق رياضية بلدية,ملعب عام / مضمار,أسبوعيًا,الصحة، التنقل,18,معتمد مبدئيًا,community_events_assistant_1
COMM-019,DOM-COMM,الذهاب إلى الشاطئ العام,زيارة شاطئ عام للاستجمام أو السباحة أو المشي,شاطئ عام,موسميًا,الصحة، الترفيه، التنقل,19,معتمد مبدئيًا,community_events_assistant_1
COMM-020,DOM-COMM,زيارة سوق شعبي أو تقليدي,التجول في سوق شعبي لشراء منتجات محلية أو تقليدية,سوق شعبي,موسميًا,إدارة المال، التنقل، الترفيه,20,معتمد مبدئيًا,community_events_assistant_1
COMM-021,DOM-COMM,زيارة مركز تجاري كبير,التجول في المركز التجاري للتسوق أو الترفيه أو تناول الطعام,مركز تجاري,شهريًا,إدارة المال، التنقل، الترفيه,21,معتمد مبدئيًا,community_events_assistant_1
COMM-022,DOM-COMM,زيارة صالون حلاقة أو تجميل,قص الشعر أو العناية بالمظهر الشخصي في صالون خارجي,صالون حلاقة,شهريًا,الصحة، التنقل,22,معتمد مبدئيًا,community_events_assistant_1
COMM-023,DOM-COMM,زيارة مغسلة ملابس أو خياط,تسليم أو استلام ملابس من مغسلة أو خياط خارجي,مغسلة / محل خياط,شهريًا,إدارة المال، التنقل,23,معتمد مبدئيًا,community_events_assistant_1
COMM-024,DOM-COMM,زيارة مكتب بريد أو شركة شحن,الذهاب لمكتب بريد أو شركة شحن لإرسال أو استلام بريد,مكتب بريد / شركة شحن,شهريًا,الخدمات، التنقل,24,معتمد مبدئيًا,community_events_assistant_1
COMM-025,DOM-COMM,إرسال طرد أو بريد من مكتب بريد,تسليم طرد أو ظرف لموظف البريد لإرساله إلى عنوان آخر,مكتب بريد,عند الحاجة,الخدمات، إدارة المال، التنقل,25,معتمد مبدئيًا,community_events_assistant_1
COMM-026,DOM-COMM,استلام طرد أو بريد من مكتب بريد,استلام شحنة أو طرد من مكتب البريد أو شركة الشحن,مكتب بريد / شركة شحن,عند الحاجة,الخدمات، التنقل,26,معتمد مبدئيًا,community_events_assistant_1
COMM-027,DOM-COMM,زيارة بنك أو جهاز صراف آلي,الذهاب لفرع بنك أو استخدام صراف لإجراء عملية مالية,بنك / صراف آلي,شهريًا,إدارة المال، الخدمات، التنقل,27,معتمد مبدئيًا,community_events_assistant_1
COMM-028,DOM-COMM,زيارة مركز خدمة حكومي,الذهاب لمركز حكومي لإنجاز معاملة رسمية أو استخراج وثيقة,مركز خدمات حكومية,عند الحاجة,الخدمات، التنقل,28,معتمد مبدئيًا,community_events_assistant_1
COMM-029,DOM-COMM,مراجعة جهة خدمية لاستكمال معاملة,زيارة جهة خدمية لتحديث بيانات أو استكمال أوراق مطلوبة,جهة خدمية,عند الحاجة,الخدمات، التنقل,29,معتمد مبدئيًا,community_events_assistant_1
COMM-030,DOM-COMM,حضور موعد مجتمعي أو لقاء رسمي,الذهاب لموعد رسمي في جهة مجتمعية أو حكومية أو نقابية,جهة رسمية / مجتمعية,عند الحاجة,العلاقات الاجتماعية، الخدمات، التنقل,30,معتمد مبدئيًا,community_events_assistant_1
COMM-031,DOM-COMM,المشاركة في مناسبة عائلية خارجية,حضور غداء أو عشاء عائلي في منزل قريب أو قاعة خارجية,منزل قريب / قاعة,عند المناسبات,العلاقات الاجتماعية، التنقل,31,معتمد مبدئيًا,community_events_assistant_1
COMM-032,DOM-COMM,حضور حفل زفاف,الذهاب لحضور حفل زفاف في قاعة أو منزل,قاعة أفراح / منزل,عند المناسبات,العلاقات الاجتماعية، التنقل,32,معتمد مبدئيًا,community_events_assistant_1
COMM-033,DOM-COMM,حضور مجلس عزاء,زيارة مجلس عزاء لتقديم واجب العزاء والمواساة,مجلس عزاء / مسجد,عند المناسبات,العلاقات الاجتماعية، التنقل,33,معتمد مبدئيًا,community_events_assistant_1
COMM-034,DOM-COMM,المشاركة في مناسبة دينية أو وطنية,حضور احتفال أو فعالية دينية أو وطنية في مكان عام,مسجد / ساحة عامة,موسميًا,العلاقات الاجتماعية، التنقل,34,معتمد مبدئيًا,community_events_assistant_1
COMM-035,DOM-COMM,المشاركة في عمل تطوعي مجتمعي,المساعدة في نشاط تطوعي في جمعية أو مؤسسة خيرية,مقر الجمعية / مكان النشاط,شهريًا,العلاقات الاجتماعية، الخدمات، التنقل,35,معتمد مبدئيًا,community_events_assistant_1
COMM-036,DOM-COMM,زيارة جمعية خيرية أو مؤسسة مجتمعية,الذهاب لجمعية لمعرفة خدماتها أو التبرع أو الاستفادة من برامجها,مقر الجمعية,عند الحاجة,الخدمات، العلاقات الاجتماعية، التنقل,36,معتمد مبدئيًا,community_events_assistant_1
COMM-037,DOM-COMM,حضور ورشة أو لقاء عام,المشاركة في ورشة عمل أو لقاء منظم في مركز مجتمعي,مركز مجتمعي,موسميًا,التواصل، التنقل,37,معتمد مبدئيًا,community_events_assistant_1
COMM-038,DOM-COMM,استخدام مركز خدمة أصحاب الهمم,زيارة مركز متخصص لاستخدام خدماته أو أنشطته أو استشارته,مركز أصحاب الهمم,شهريًا,الخدمات، التنقل,38,معتمد مبدئيًا,community_events_assistant_1
COMM-039,DOM-COMM,زيارة صديق في منزله أو مكان لقاء,الذهاب لزيارة صديق في منزله أو مكان اللقاء المتفق عليه,منزل صديق / مكان عام,شهريًا,العلاقات الاجتماعية، التنقل,39,معتمد مبدئيًا,community_events_assistant_1
COMM-040,DOM-COMM,دعوة صديق للقاء في مكان عام,الاجتماع بصديق في مكان متفق عليه خارج المنزل لمناقشة أو ترفيه,مقهى / حديقة / مطعم,شهريًا,العلاقات الاجتماعية، التنقل,40,معتمد مبدئيًا,community_events_assistant_1
COMM-041,DOM-COMM,شراء حاجة من متجر قريب في الحي,الذهاب لبقالة أو متجر حي لشراء احتياجات سريعة,متجر حي / بقالة,أسبوعيًا,إدارة المال، التنقل,41,معتمد مبدئيًا,community_events_assistant_1
COMM-042,DOM-COMM,زيارة صيدلية خارجية,الذهاب لصيدلية لشراء دواء أو استشارة صيدلي,صيدلية,عند الحاجة,الصحة، إدارة المال، التنقل,42,معتمد مبدئيًا,community_events_assistant_1
COMM-043,DOM-COMM,استخدام دورة مياه عامة,استخدام المرافق الصحية في مكان عام أو مركز تجاري أو مسجد,دورة مياه عامة,عند الحاجة,الصحة، التنقل,43,معتمد مبدئيًا,community_events_assistant_1
COMM-044,DOM-COMM,الانتظار في طابور خدمة عامة,الوقوف في صف انتظار لدى جهة خدمية أو مطعم أو مركز تجاري,مكان خدمة عام,عند الحاجة,الخدمات، التنقل,44,معتمد مبدئيًا,community_events_assistant_1
COMM-045,DOM-COMM,طلب المساعدة من موظف في مكان عام,التوجه لموظف في مكان عام لطلب معلومة أو مساعدة أو توجيه,مكان عام / مركز خدمة,عند الحاجة,التواصل، الخدمات,45,معتمد مبدئيًا,community_events_assistant_1
COMM-046,DOM-COMM,السؤال عن اتجاه أو موقع من شخص في الشارع,استفسار المارة عن عنوان أو طريق أو مكان غير معروف,شارع / مكان عام,عند الحاجة,التواصل، التنقل,46,معتمد مبدئيًا,community_events_assistant_1
COMM-047,DOM-COMM,استخدام مصعد أو سلالم متحركة في مكان عام,ركوب المصعد أو السلالم المتحركة في مركز تجاري أو مبنى عام,مبنى عام / مركز تجاري,عند الحاجة,التنقل,47,معتمد مبدئيًا,community_events_assistant_1
COMM-048,DOM-COMM,عبور مدخل أمني أو بوابة تفتيش في مكان عام,المرور من بوابة دخول أو تفتيش أمني في مؤسسة أو مركز أو محطة,مدخل مبنى عام,عند الحاجة,الخدمات، التنقل,48,معتمد مبدئيًا,community_events_assistant_1
COMM-049,DOM-COMM,استخدام موقف عام للسيارة,ركن السيارة في موقف عام مدفوع أو مجاني في مركز أو شارع,موقف عام,عند الحاجة,التنقل، إدارة المال,49,معتمد مبدئيًا,community_events_assistant_1
COMM-050,DOM-COMM,الجلوس في مساحة انتظار عامة,الانتظار في صالة أو مقاعد عامة في مستشفى أو مركز أو محطة,صالة انتظار عامة,عند الحاجة,الخدمات، الصحة,50,معتمد مبدئيًا,community_events_assistant_1
COMM-051,DOM-COMM,التخلص من النفايات في سلة عامة,رمي المخلفات في الحاوية المخصصة في مكان عام أو حديقة أو شاطئ,مكان عام,عند الحاجة,الخدمات,51,معتمد مبدئيًا,community_events_assistant_1
COMM-052,DOM-COMM,إعادة مقعد أو طاولة إلى مكانها بعد الاستخدام,ترتيب المكان بعد الانتهاء في مكتبة أو مركز أو حديقة عامة,مكان عام,عند الحاجة,الخدمات,52,معتمد مبدئيًا,community_events_assistant_1
COMM-053,DOM-COMM,حضور نشاط ترفيهي جماعي,المشاركة في نشاط ترفيهي منظم مع مجموعة كالرحلات أو الألعاب,مركز ترفيه / حديقة,شهريًا,الترفيه، العلاقات الاجتماعية، التنقل,53,معتمد مبدئيًا,community_events_assistant_1
COMM-054,DOM-COMM,المشاركة في نزهة أسرية خارجية,الذهاب في نزهة مع العائلة لحديقة أو شاطئ أو مكان طبيعي,حديقة / شاطئ / مخيم,موسميًا,العلاقات الاجتماعية، الترفيه، التنقل,54,معتمد مبدئيًا,community_events_assistant_1
COMM-055,DOM-COMM,المشاركة في رحلة يوم واحد,السفر في رحلة قصيرة لمدة يوم واحد لمدينة أو مكان مجاور,مكان الرحلة,موسميًا,التنقل، الترفيه، العلاقات الاجتماعية,55,معتمد مبدئيًا,community_events_assistant_1
COMM-056,DOM-COMM,زيارة معرض توظيف أو تدريب,الذهاب لمعرض توظيف أو مهني للاطلاع على الفرص المتاحة,مركز معارض,موسميًا,الخدمات، التنقل,56,معتمد مبدئيًا,community_events_assistant_1
COMM-057,DOM-COMM,زيارة مكان عمل أحد أفراد الأسرة,الذهاب لمكان عمل الزوج أو الأبناء للزيارة أو الانتظار أو تسليم شيء,مكان العمل,عند الحاجة,العلاقات الاجتماعية، التنقل,57,معتمد مبدئيًا,community_events_assistant_1
COMM-058,DOM-COMM,حضور لقاء تعريفي في جهة مجتمعية,حضور جلسة تعريفية بخدمات أو برامج جهة مجتمعية أو حكومية,مقر الجهة,موسميًا,التواصل، الخدمات، التنقل,58,معتمد مبدئيًا,community_events_assistant_1
COMM-059,DOM-COMM,المشاركة في شراء هدية من متجر خارجي,الذهاب لمتجر لاختيار وشراء هدية لشخص في مناسبة معينة,متجر هدايا / مركز تجاري,عند المناسبات,إدارة المال، العلاقات الاجتماعية، التنقل,59,معتمد مبدئيًا,community_events_assistant_1
COMM-060,DOM-COMM,تقديم هدية أو تهنئة في مناسبة خارجية,تسليم هدية أو تهنئة شخصية في مناسبة تقام خارج المنزل,مكان المناسبة,عند المناسبات,العلاقات الاجتماعية، التنقل,60,معتمد مبدئيًا,community_events_assistant_1
COMM-061,DOM-COMM,زيارة مريض في المستشفى أو منزله,الذهاب لزيارة شخص مريض للاطمئنان عليه والمواساة,مستشفى / منزل المريض,عند الحاجة,العلاقات الاجتماعية، الصحة، التنقل,61,معتمد مبدئيًا,community_events_assistant_1
COMM-062,DOM-COMM,المشاركة في مساعدة جار أو قريب خارجيًا,مساعدة جار في مهمة خارج المنزل كحمل مشتريات أو مرافقة,حي / مكان الجار,عند الحاجة,العلاقات الاجتماعية، الخدمات، التنقل,62,معتمد مبدئيًا,community_events_assistant_1
COMM-063,DOM-COMM,حضور اجتماع أسري أو مجتمعي في مكان عام,حضور جلسة نقاش أو اجتماع عائري أو مجتمعي في مكان خارجي,قاعة / منزل قريب,شهريًا,العلاقات الاجتماعية، التنقل,63,معتمد مبدئيًا,community_events_assistant_1
COMM-064,DOM-COMM,استخدام خدمة رقمية في مكان عام,استخدام تطبيق أو كشك أو خدمة رقمية في مكان عام أو مركز,مكان عام / مركز,عند الحاجة,التواصل، الخدمات,64,معتمد مبدئيًا,community_events_assistant_1
COMM-065,DOM-COMM,استلام رقم انتظار أو تذكرة دخول من جهاز,سحب رقم انتظار أو تذكرة دخول من آلة في مكان خدمي,مركز خدمة,عند الحاجة,الخدمات، التنقل,65,معتمد مبدئيًا,community_events_assistant_1
COMM-066,DOM-COMM,استخدام كشك خدمة ذاتي في مكان عام,استخدام كشك طلبات أو معلومات أو حجز ذاتي الخدمة,مركز خدمة / مطعم,عند الحاجة,التواصل، الخدمات,66,معتمد مبدئيًا,community_events_assistant_1
COMM-067,DOM-COMM,حجز نشاط أو فعالية في مركز مجتمعي,التسجيل لنشاط في مركز ثقافي أو رياضي أو ترفيهي,مركز مجتمعي,موسميًا,الخدمات، الترفيه، التنقل,67,معتمد مبدئيًا,community_events_assistant_1
COMM-068,DOM-COMM,التبرع بمبالغ أو مواد في نقطة تبرع عامة,وضع تبرع في صندوق أو نقطة تبرع في مسجد أو مركز أو حملة,مكان التبرع,موسميًا,العلاقات الاجتماعية، الخدمات,68,معتمد مبدئيًا,community_events_assistant_1
COMM-069,DOM-COMM,حضور صلاة جماعة في مسجد,المشاركة في صلاة الجماعة أو الجمعة في مسجد جماعي,مسجد,أسبوعيًا,العلاقات الاجتماعية، التنقل,69,معتمد مبدئيًا,community_events_assistant_1
COMM-070,DOM-COMM,زيارة مقبرة أو حضور دفن,الذهاب لمقبرة لزيارة قبر أو حضور مراسم الدفن,مقبرة,عند المناسبات,العلاقات الاجتماعية، التنقل,70,معتمد مبدئيًا,community_events_assistant_1
COMM-071,DOM-COMM,حضور درس ديني أو محاضرة في مسجد,الذهاب لمسجد أو مركز لحضور درس أو محاضرة دينية أو تثقيفية,مسجد / مركز,أسبوعيًا,العلاقات الاجتماعية، التنقل,71,معتمد مبدئيًا,community_events_assistant_1
COMM-072,DOM-COMM,زيارة دار مسنين أو مركز رعاية اجتماعية,الذهاب لزيارة مسنين أو مركز رعاية اجتماعية للاطمئنان أو التطوع,دار مسنين,شهريًا,العلاقات الاجتماعية، الخدمات، التنقل,72,معتمد مبدئيًا,community_events_assistant_1
COMM-073,DOM-COMM,المشاركة في حملة توعية مجتمعية,الذهاب لمكان حملة توعية صحية أو أمنية أو مجتمعية والمشاركة فيها,مكان الحملة,موسميًا,الخدمات، العلاقات الاجتماعية، التنقل,73,معتمد مبدئيًا,community_events_assistant_1
COMM-074,DOM-COMM,استخدام حديقة ألعاب عامة,الجلوس أو المشي أو المشاركة في النشاطات في حديقة ألعاب عامة,حديقة عامة,أسبوعيًا,الصحة، الترفيه، التنقل,74,معتمد مبدئيًا,community_events_assistant_1
COMM-075,DOM-COMM,زيارة مركز شباب أو نادي اجتماعي,الذهاب لمركز شباب أو نادي للمشاركة في أنشطته أو لقاءاته,مركز شباب,شهريًا,الترفيه، العلاقات الاجتماعية، التنقل,75,معتمد مبدئيًا,community_events_assistant_1
COMM-076,DOM-COMM,حضور ندوة أو محاضرة عامة,الذهاب لقاعة أو مركز لحضور ندوة تثقيفية أو محاضرة علمية,قاعة محاضرات,موسميًا,التواصل، الترفيه، التنقل,76,معتمد مبدئيًا,community_events_assistant_1
COMM-077,DOM-COMM,زيارة مركز صحي أو عيادة خارجية,الذهاب لمركز صحي أو عيادة خارجية لعلاج أو فحص أو استشارة,مركز صحي,عند الحاجة,الصحة، الخدمات، التنقل,77,معتمد مبدئيًا,community_events_assistant_1
COMM-078,DOM-COMM,استخدام خدمة نقل عام,ركوب حافلة أو مترو أو مركبة نقل عام للتنقل في المدينة,محطة نقل / موقف,أسبوعيًا,التنقل، الخدمات,78,معتمد مبدئيًا,community_events_assistant_1
COMM-079,DOM-COMM,شراء تذكرة دخول لموقع ترفيهي,شراء تذكرة دخول لحديقة أو متحف أو مركز ترفيه من شباك التذاكر,شباك التذاكر,موسميًا,إدارة المال، الترفيه، التنقل,79,معتمد مبدئيًا,community_events_assistant_1
COMM-080,DOM-COMM,استخدام خدمة إنترنت عامة أو مقهى إنترنت,استخدام الإنترنت في مقهى أو مكتبة أو مكان عام للتواصل أو العمل,مقهى إنترنت / مكتبة,عند الحاجة,التواصل، الخدمات,80,معتمد مبدئيًا,community_events_assistant_1
FOOD-001,DOM-FOOD,إعداد الإفطار,طهي الوجبة الصباحية للعائلة,المطبخ,يوميًا,النظافة الشخصية، الصحة,1,معتمد مبدئيًا,Pasted text(48).txt
FOOD-002,DOM-FOOD,إعداد الغداء,طهي الوجبة الرئيسية في منتصف النهار,المطبخ,يوميًا,الصحة، العمل,2,معتمد مبدئيًا,Pasted text(48).txt
FOOD-003,DOM-FOOD,إعداد العشاء,طهي الوجبة المسائية للعائلة,المطبخ,يوميًا,الصحة، العلاقات الأسرية,3,معتمد مبدئيًا,Pasted text(48).txt
FOOD-004,DOM-FOOD,تجهيز المشروبات الساخنة,تحضير القهوة أو الشاي أو المشروبات الساخنة,المطبخ,يوميًا,الضيافة، الصحة,4,معتمد مبدئيًا,Pasted text(48).txt
FOOD-005,DOM-FOOD,تجهيز المشروبات الباردة,تحضير العصائر أو الماء البارد أو المشروبات المثلجة,المطبخ,يوميًا,الصحة، المناخ,5,معتمد مبدئيًا,Pasted text(48).txt
