card_id,opportunity_id,why,before_start,participation_steps,make_it_easier,participation_levels,indicators,whats_next,support_notes,status,source_file
CLO-011-CARD001,CLO-011-OP001,لتعلّم مهارة التصنيف والانتباه للتفاصيل (اللون والقماش).,تجهيز سطح عمل أو مكان مفتوح للفرز.,فصل الملابس الفاتحة عن الداكنة. فصل الأقمشة الحساسة. تجميع كل مجموعة معًا.,استخدام سلال ملوّنة لكل فئة (فاتح/داكن/حساس).,مراقبة الفرز. الفرز بمساعدة (تصنيف مبدئي). الفرز الكامل المستقل.,دقة التصنيف مع مرور الوقت.,"الانتقال إلى فرصة ""تشغيل دورة غسيل الملابس"".",سلال أو علامات ملوّنة للفرز.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-012-CARD001,CLO-012-OP001,لتعلّم استخدام الأجهزة المنزلية واتباع تسلسل خطوات محدد.,التأكد من توفر المنظف المناسب. معرفة إعدادات الغسالة الأساسية.,وضع الملابس المفروزة في الغسالة. إضافة المنظف بالكمية المناسبة. اختيار البرنامج المناسب. تشغيل الغسالة.,وضع ملصقات مرقّمة على أزرار الغسالة توضح خطوات التشغيل.,مراقبة التشغيل. المساعدة في خطوة واحدة (مثل إضافة المنظف). تشغيل الدورة كاملة بشكل مستقل.,تنفيذ الخطوات بالترتيب الصحيح دون توجيه.,"الانتقال إلى فرصة ""نشر الملابس لتجفيفها طبيعيًا"" أو ""استخدام مجفف الملابس الكهربائي"".",بطاقة خطوات مرقّمة ومصورة لتشغيل الغسالة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-013-CARD001,CLO-013-OP001,لتعلّم مهارة حركية وتنظيمية بسيطة ضمن روتين المنزل.,التأكد من توفر مشابك ومكان نشر فارغ.,إخراج الملابس من الغسالة. تعليق كل قطعة على الحبل. تثبيتها بالمشابك.,استخدام حبل بارتفاع مناسب أو منشر أرضي قابل للتعديل.,المساعدة في تمرير القطع. نشر عدد محدد من القطع. تنفيذ عملية النشر كاملة.,زيادة عدد القطع المنشورة بشكل مستقل.,"الانتقال إلى فرصة ""طي الملابس النظيفة"" بعد الجفاف.",منشر بارتفاع قابل للتكيف.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-014-CARD001,CLO-014-OP001,لتعلّم التعامل الآمن مع جهاز كهربائي واتباع تعليماته.,معرفة أزرار التشغيل الأساسية للمجفف.,وضع الملابس في المجفف. اختيار البرنامج المناسب. تشغيل الجهاز. إخراج الملابس بعد الانتهاء.,ملصقات بسيطة على الأزرار المستخدمة فقط.,مراقبة التشغيل. المساعدة بخطوة واحدة. التشغيل المستقل الكامل تحت إشراف عن بُعد للسلامة.,الالتزام بخطوات السلامة أثناء الاستخدام.,"الانتقال إلى فرصة ""طي الملابس النظيفة"".",بطاقة تعليمات سلامة مبسطة لاستخدام الجهاز.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-015-CARD001,CLO-015-OP001,لتعلّم مهارة دقيقة تتطلب حذرًا وتركيزًا مع مراعاة السلامة.,التأكد من سلامة المكواة والطاولة. وجود إشراف مباشر إلزامي لهذه المهمة.,تجهيز القطعة على طاولة الكي. تسخين المكواة. كي القطعة بحركات منتظمة. تعليقها بعد الانتهاء.,البدء بقطع بسيطة ومسطحة (مناشف) قبل الملابس المعقدة.,المراقبة فقط لأسباب السلامة. المساعدة في تمرير القطع مع إشراف كامل. كي قطع بسيطة تحت إشراف مباشر.,الالتزام التام بتعليمات السلامة أثناء التنفيذ.,"الانتقال إلى فرصة ""تعليق الملابس في الخزانة"".",بطاقة تعليمات سلامة إلزامية لاستخدام المكواة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-016-CARD001,CLO-016-OP001,لتعلّم مهارة حركية دقيقة وتنظيمية تُستخدم يوميًا.,تجهيز سطح مستوٍ وواسع للطي.,فرد القطعة على السطح. طي الأكمام أو الجوانب. طي القطعة إلى الحجم النهائي. تجميع القطع المطوية معًا.,استخدام قالب طي كرتوني بسيط كمرجع بصري.,مراقبة الطي. طي قطع بسيطة (مناشف/جوارب). طي جميع أنواع الملابس بشكل مستقل.,تحسّن دقة وسرعة الطي.,"الانتقال إلى فرصة ""تعليق الملابس في الخزانة"" أو تخزينها.",قالب طي بصري مبسط.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-017-CARD001,CLO-017-OP001,لتعلّم ترتيب الممتلكات الشخصية والحفاظ على شكل الملابس.,التأكد من إمكانية الوصول لعلاقات الخزانة.,أخذ العلاقة المناسبة. تعليق القطعة عليها بشكل مستقيم. وضعها في مكانها بالخزانة.,خفض قضيب التعليق ليكون في متناول اليد.,المساعدة في التعليق. تعليق عدد محدد من القطع. تعليق جميع القطع بشكل مستقل.,انخفاض عدد القطع المعلّقة بشكل غير صحيح.,"الارتباط بفرصة ""ترتيب وإعادة تنظيم خزانة الملابس"".",قضيب تعليق بارتفاع قابل للتعديل.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-018-CARD001,CLO-018-OP001,لتعلّم مهارات التنظيم واتخاذ قرارات حول ما يُحتفظ به وما يُستبعد.,تخصيص وقت كافٍ دون استعجال.,إخراج جميع المحتويات. فرزها حسب النوع أو الموسم. إعادة ترتيبها في أماكنها.,تقسيم المهمة على جلسات قصيرة بدلًا من جلسة واحدة طويلة.,المساعدة في جزء من الخزانة. تنظيم قسم كامل محدد. تنظيم الخزانة بأكملها.,القدرة على إيجاد القطع بسهولة بعد الترتيب.,"الارتباط بفرصة ""تخزين الملابس الموسمية"".",قائمة تحقق لخطوات إعادة التنظيم.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-019-CARD001,CLO-019-OP001,لتعلّم مهارة حل المشكلات والتفكير المنظم في أماكن البحث المحتملة.,تحديد آخر مكان استُخدمت فيه القطعة إن أمكن.,البحث في الخزانة أولًا. البحث في سلة الغسيل. توسيع البحث لأماكن أخرى بالمنزل.,استخدام قائمة أماكن محتملة مرتبة بالأولوية.,المرافقة أثناء البحث. البحث في مكان واحد محدد. تنظيم عملية البحث الكاملة بمفرده.,تقليل زمن العثور على القطعة.,"الارتباط بفرصة ""ترتيب وإعادة تنظيم خزانة الملابس"" لتقليل تكرار الفقدان.",قائمة أماكن بحث مرتبة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-020-CARD001,CLO-020-OP001,لتعلّم مهارة يدوية دقيقة والمساهمة في إطالة عمر الأغراض.,تجهيز أدوات الخياطة الأساسية بإشراف.,تحديد موقع التمزق. تجهيز الإبرة والخيط بمساعدة. خياطة التمزق ببطء. فحص النتيجة.,البدء بغرز بسيطة كبيرة قبل الانتقال لغرز دقيقة.,المراقبة فقط لأسباب السلامة. المساعدة في تمرير الخيط. تنفيذ إصلاح بسيط تحت إشراف مباشر.,تحسّن ثبات الغرز مع الوقت.,"الارتباط بفرصة ""تبديل أزرار مفقودة أو تالفة"".",بطاقة تعليمات سلامة لاستخدام الإبرة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-021-CARD001,CLO-021-OP001,لتعلّم مهارة يدوية دقيقة ضمن نشاط صيانة بسيط.,تجهيز الزر البديل والخيط بإشراف.,تحديد موقع الزر المفقود. تثبيت الزر الجديد بغرز بسيطة. التأكد من ثباته.,استخدام أزرار كبيرة الحجم للتدريب أولًا.,المراقبة فقط. المساعدة في تثبيت الزر. تنفيذ المهمة كاملة تحت إشراف.,ثبات الزر بعد التركيب دون الحاجة لإعادة العمل.,"الارتباط بفرصة ""تصليح ملابس ممزقة أو تالفة"".",بطاقة تعليمات سلامة لاستخدام الإبرة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-022-CARD001,CLO-022-OP001,لتعلّم التعامل مع مشكلة عملية والتعرف على أنواع المواد المنظفة الآمنة.,التأكد من نوع البقعة والقماش قبل الاختيار. إشراف إلزامي عند استخدام مواد كيميائية.,تحديد نوع البقعة. اختيار المادة المناسبة. معالجة البقعة بلطف. غسل القطعة بعد المعالجة.,استخدام مواد آمنة ومعتمدة للأطفال عند الإمكان.,المراقبة فقط لأسباب السلامة. المساعدة في خطوة الغسل النهائية. المعالجة الكاملة تحت إشراف مباشر.,التعرف على أنواع البقع الشائعة وطرق معالجتها.,"الارتباط بفرصة ""تشغيل دورة غسيل الملابس"".",بطاقة تعليمات سلامة لاستخدام مواد التنظيف.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-023-CARD001,CLO-023-OP001,لتعلّم مهارة حركية لطيفة والانتباه للتعليمات الخاصة بكل قماش.,قراءة ملصق العناية بالقطعة. تجهيز ماء فاتر ومنظف لطيف.,نقع القطعة في الماء والمنظف. غسلها بحركات لطيفة. شطفها جيدًا. عصرها بلطف دون فرك قوي.,استخدام حوض بحجم مناسب لسهولة التحكم.,المراقبة. المساعدة في الشطف. الغسل الكامل باليد بشكل مستقل.,الحفاظ على سلامة القماش بعد الغسل.,"الانتقال إلى فرصة ""نشر الملابس لتجفيفها طبيعيًا"".",بطاقة رموز العناية بالأقمشة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-024-CARD001,CLO-024-OP001,لتعلّم التعامل مع خدمة خارجية والتواصل بشأن احتياج محدد.,تجهيز القطعة والتأكد من ملصق العناية بها.,تحديد القطع التي تحتاج تنظيفًا جافًا. التوجه إلى المحل. تسليم القطع وتوضيح المطلوب. استلامها لاحقًا في الموعد المحدد.,تجهيز بطاقة مكتوبة بالمطلوب لتسليمها للموظف.,المرافقة فقط. المشاركة في التسليم والاستلام. التعامل الكامل مع الخدمة بشكل مستقل.,القدرة على التواصل مع الموظف دون مساعدة.,"الارتباط بفرصة ""تعليق الملابس في الخزانة"" بعد الاستلام.",بطاقة تواصل مكتوبة مسبقًا.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-025-CARD001,CLO-025-OP001,لتعلّم التخطيط الموسمي وتنظيم المساحة.,تجهيز صناديق أو أكياس تخزين فارغة.,فرز الملابس غير المستخدمة حاليًا. طيها ووضعها في الصناديق. تخزينها في المكان المخصص.,وضع ملصقات على الصناديق توضح المحتوى والموسم.,المساعدة في الفرز. تعبئة صندوق واحد. تنفيذ عملية التخزين كاملة.,دقة تصنيف الملابس حسب الموسم.,"الارتباط بفرصة ""إخراج الملابس الموسمية من التخزين"" لاحقًا.",ملصقات تصنيف للصناديق.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-026-CARD001,CLO-026-OP001,لإكمال دورة التخطيط الموسمي وتجديد محتوى الخزانة.,معرفة مكان الصناديق المخزنة.,إحضار الصناديق المناسبة للموسم الجديد. فتحها وفحص المحتوى. نقل الملابس إلى الخزانة.,الاعتماد على الملصقات الموضوعة مسبقًا لتحديد الصندوق الصحيح.,المساعدة في النقل. إخراج صندوق واحد وترتيبه. تنفيذ العملية كاملة بشكل مستقل.,سرعة إيجاد الصندوق الصحيح بالاعتماد على الملصقات.,"الانتقال إلى فرصة ""ترتيب وإعادة تنظيم خزانة الملابس"".",ملصقات تصنيف الصناديق نفسها المستخدمة في CLO-025.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-027-CARD001,CLO-027-OP001,لتعلّم قيمة العطاء والمساهمة المجتمعية.,تحديد القطع السليمة غير المستخدمة.,فرز الملابس المرشحة للتبرع. التأكد من نظافتها وسلامتها. تجهيزها في كيس أو صندوق. تسليمها لمركز التبرع.,تخصيص كيس واحد يوضع فيه أي قطعة غير مستخدمة تدريجيًا على مدار الأسبوع.,المساعدة في الفرز. تجهيز كيس التبرع. تسليم التبرع بنفسه.,المبادرة الذاتية لاقتراح قطع للتبرع.,"الارتباط بفرصة ""التخلص من ملابس بالية غير صالحة"" للقطع غير القابلة للتبرع.",كيس أو صندوق مخصص للتبرع.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-028-CARD001,CLO-028-OP001,لتعلّم التمييز بين ما يمكن الاحتفاظ به وما يجب التخلص منه، والوعي البيئي.,معرفة نقطة إعادة التدوير أو حاوية النفايات المناسبة.,تحديد القطع التالفة تمامًا. فصلها عن القطع القابلة للتبرع. التخلص منها في المكان المناسب.,استخدام معيار بسيط للتقييم (هل يمكن إصلاحها؟ هل ما زالت قابلة للاستخدام؟).,المساعدة في الفرز. تحديد قطعة واحدة والتخلص منها. تنفيذ العملية كاملة.,دقة التمييز بين القابل للتبرع وغير الصالح.,"الارتباط بفرصة ""ترتيب وإعادة تنظيم خزانة الملابس"".",بطاقة معايير بسيطة لتقييم حالة الملابس.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-029-CARD001,CLO-029-OP001,لتعلّم مفهوم المشاركة الأسرية والتوفير، وربط النمو بتغيّر الاحتياجات.,معرفة مقاس الطفل الأصغر الحالي.,فرز ملابس الطفل الأكبر التي لم تعد تناسبه. فحص حالتها. تجهيزها للطفل الأصغر.,"إشراك الطفل الأكبر في اختيار ما ""يُهدى"" لشقيقه لتعزيز الشعور الإيجابي.",المساعدة في الفرز. اختيار القطع المناسبة للتمرير. تنفيذ العملية بمفرده.,المشاركة الإيجابية دون ممانعة في تمرير الملابس.,"الارتباط بفرصة ""تفقد مقاسات الملابس وتحديثها مع نمو الأطفال"".",لا يتطلب أدوات دعم إضافية.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-030-CARD001,CLO-030-OP001,لتعلّم التعبير عن الامتنان والتعامل مع الهدايا العائلية.,تجهيز مكان مؤقت لاستقبال الملابس.,استلام الملابس. فحصها وفرزها حسب المقاس. غسلها قبل الاستخدام. تخزينها أو تعليقها.,تعليم عبارة شكر بسيطة تُقال عند الاستلام.,المراقبة. المساعدة في الفرز. تنفيذ الاستلام والفرز الكامل.,التعبير التلقائي عن الشكر عند الاستلام.,"الانتقال إلى فرصة ""غسل ملابس الأطفال الرضع بشكل منفصل"" إذا لزم الأمر، أو ""ترتيب ملابس الأطفال حسب العمر والمقاس"".",بطاقة عبارات شكر جاهزة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-031-CARD001,CLO-031-OP001,لتعلّم التخطيط المسبق وتقدير الاحتياجات وفق مدة الغياب.,معرفة مدة الرحلة ووجهتها وطبيعة الطقس فيها.,تحديد عدد الأيام والاحتياجات. اختيار القطع المناسبة. طيها ووضعها في الحقيبة. مراجعة نهائية قبل الإغلاق.,استخدام قائمة تحقق بالعناصر الأساسية لكل رحلة.,المساعدة في الاختيار. تجهيز جزء من الحقيبة. تجهيز الحقيبة كاملة بشكل مستقل.,اكتمال الاحتياجات دون نسيان عناصر أساسية.,"الارتباط بفرصة ""تفريغ وتنظيف حقيبة الملابس بعد العودة"".",قائمة تحقق مصورة لعناصر السفر.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-032-CARD001,CLO-032-OP001,لإكمال دورة روتين السفر وتعلّم الترتيب بعد الانتهاء من نشاط.,تجهيز سلة للملابس المتسخة وأخرى للنظيفة.,فتح الحقيبة. فرز الملابس النظيفة عن المتسخة. إعادة الحقيبة إلى مكان تخزينها.,تخصيص وقت قريب من العودة مباشرة لتفادي تراكم المهمة.,المساعدة في الفرز. تفريغ جزء من الحقيبة. تنفيذ المهمة كاملة.,إتمام التفريغ خلال وقت قصير من العودة.,"الانتقال إلى فرصة ""غسل ملابس العودة من السفر أو النشاط الخارجي"".",سلتان مخصصتان (نظيف/متسخ).,معتمد مبدئيًا,Pasted markdown(20).md
CLO-033-CARD001,CLO-033-OP001,لربط نشاط السفر بروتين النظافة المعتاد وإغلاق دورة الاستخدام.,التأكد من وجود كمية كافية لبدء دورة غسيل.,تجميع ملابس السفر المتسخة. فرزها إن لزم. تشغيل دورة الغسيل.,"الربط المباشر مع فرصة ""تشغيل دورة غسيل الملابس"" المعتادة.",المساعدة في التجميع. المشاركة في التشغيل. تنفيذ الغسيل كاملًا بشكل مستقل.,المبادرة لغسل ملابس السفر دون تذكير.,"الارتباط بفرصة ""طي الملابس النظيفة"".",لا يتطلب أدوات دعم إضافية عن المستخدم في CLO-012.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-034-CARD001,CLO-034-OP001,لتعلّم مفهوم الملكية الشخصية والمسؤولية عن الأغراض الخاصة.,تجهيز الملصقات أو القلم الخاص بالكتابة على الأقمشة.,تحديد القطع الجديدة التي تحتاج تمييزًا. كتابة الاسم أو لصق الملصق. التأكد من وضوح الاسم.,استخدام ملصقات جاهزة بالاسم بدلًا من الكتابة اليدوية.,المراقبة. المساعدة في لصق الملصقات. تنفيذ المهمة بمفرده على القطع البسيطة.,التعرف على قطعه الخاصة المميزة بالاسم.,"الارتباط بفرصة ""تجهيز ملابس العودة للمدرسة أو العمل"".",ملصقات أسماء جاهزة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-035-CARD001,CLO-035-OP001,لبناء روتين استعداد يومي يقلل التوتر الصباحي ويعزز الاستقلالية.,معرفة الزي المطلوب لليوم التالي.,اختيار الزي المناسب لليوم القادم. التأكد من نظافته وجاهزيته. تجهيزه في مكان محدد (على الكرسي مثلًا).,جعل التجهيز جزءًا من روتين المساء الثابت.,المساعدة في الاختيار. التجهيز بمساعدة جزئية. التجهيز الكامل المستقل كل مساء.,انخفاض وقت الاستعداد الصباحي.,"الارتباط بفرصة ""ارتداء الملابس"" صباح اليوم التالي.",جدول روتين مسائي مصور.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-036-CARD001,CLO-036-OP001,لربط اختيار الملابس بنوع النشاط وضمان الراحة والسلامة أثناء الحركة.,معرفة نوع النشاط الرياضي المخطط له.,تحديد نوع النشاط. اختيار الزي والحذاء المناسبين. تجهيزهما قبل موعد النشاط.,تخصيص درج مستقل لملابس الرياضة فقط.,المساعدة في الاختيار. التجهيز بمساعدة جزئية. التجهيز الكامل المستقل.,ملاءمة الاختيار لنوع النشاط دون تصحيح.,"الارتباط بفرصة ""غسل ملابس الرياضة أو العمل المتسخة بشكل خاص"" بعد النشاط.",درج مخصص لملابس الرياضة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-037-CARD001,CLO-037-OP001,لتعلّم التمييز بين درجات الاتساخ والتعامل معها بشكل مناسب.,فصل هذه الملابس عن بقية الغسيل العادي.,تجميع الملابس شديدة الاتساخ. وضعها في دورة غسيل منفصلة أو مكثفة. تشغيل الغسالة بالإعداد المناسب.,تخصيص سلة صغيرة منفصلة لهذا النوع من الملابس.,المساعدة في التجميع. المشاركة في التشغيل. تنفيذ العملية كاملة.,الفصل التلقائي لهذه الملابس عن الغسيل العادي.,"الارتباط بفرصة ""نشر الملابس لتجفيفها طبيعيًا"".",سلة منفصلة مخصصة.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-038-CARD001,CLO-038-OP001,لتعلّم بديل بسيط للغسيل عند عدم وجود اتساخ فعلي، والحفاظ على انتعاش الملابس.,تحديد مكان جيد التهوية (شرفة أو نافذة مفتوحة).,تحديد القطعة التي تحتاج تهوية. تعليقها في المكان المناسب. إعادتها إلى الخزانة بعد فترة.,تخصيص علاّقة قريبة من الشرفة لهذا الغرض تحديدًا.,المساعدة في التعليق. تنفيذ الخطوة بمفرده لقطعة واحدة. تنفيذ المهمة كاملة عند الحاجة.,التمييز الصحيح بين ما يحتاج غسلًا وما يحتاج تهوية فقط.,"الارتباط بفرصة ""تعليق الملابس في الخزانة"".",علاّقة مخصصة قرب مكان التهوية.,معتمد مبدئيًا,Pasted markdown(20).md
CLO-039-CARD001,CLO-039-OP001,لتعزيز أساسيات النظافة الشخصية اليومية والاستقلالية في الرعاية الذاتية.,التأكد من توفر لباس داخلي نظيف كافٍ يوميًا.,اختيار قطعة نظيفة. ارتداؤها كجزء من الروتين الصباحي. وضع القطعة المستخدمة في سلة الغسيل.,تخصيص درج واضح وسهل الوصول لهذه القطع فقط.,المساعدة الكاملة. المساعدة الجزئية. التنفيذ المستقل الكامل يوميًا.,الانتظام اليومي دون الحاجة لتذكير.,"الارتباط بفرصة ""ارتداء الملابس"".",جدول روتين صباحي مصور.,معتمد مبدئيًا,Pasted markdown(20).md
