opportunity_id,event_id,opportunity_name_ar,display_order,future_participation_level,safety_mode,status,source_file,participation_level,role_scope,organization_demand,variation_demand,classification_reason,review_required
CLO-011-OP001,CLO-011,فرز الملابس المتسخة قبل الغسيل,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-012-OP001,CLO-012,تشغيل دورة غسيل الملابس,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-013-OP001,CLO-013,نشر الملابس لتجفيفها طبيعيًا,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-014-OP001,CLO-014,استخدام مجفف الملابس الكهربائي,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-015-OP001,CLO-015,كي الملابس لإزالة التجاعيد,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-016-OP001,CLO-016,طي الملابس النظيفة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-017-OP001,CLO-017,تعليق الملابس في الخزانة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-018-OP001,CLO-018,ترتيب وإعادة تنظيم خزانة الملابس,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-019-OP001,CLO-019,البحث عن قطعة ملابس مفقودة أو مختبئة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-020-OP001,CLO-020,تصليح ملابس ممزقة أو تالفة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-021-OP001,CLO-021,تبديل أزرار مفقودة أو تالفة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-022-OP001,CLO-022,إزالة بقع صعبة من الملابس,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-023-OP001,CLO-023,غسل الملابس الحساسة باليد,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-024-OP001,CLO-024,إرسال ملابس خاصة إلى التنظيف الجاف,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-025-OP001,CLO-025,تخزين الملابس الموسمية (شتوية/صيفية),1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-026-OP001,CLO-026,إخراج الملابس الموسمية من التخزين,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-027-OP001,CLO-027,التبرع بملابس لم تعد مستخدمة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-028-OP001,CLO-028,التخلص من ملابس بالية غير صالحة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-029-OP001,CLO-029,تمرير ملابس الأطفال الكبار للأصغر سناً,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-030-OP001,CLO-030,استلام ملابس مستعملة من أقارب أو أصدقاء,1,,,معتمد مبدئيًا,Pasted markdown(20).md,simple,simple,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-031-OP001,CLO-031,تجهيز حقيبة ملابس للسفر أو النزهات,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-032-OP001,CLO-032,تفريغ وتنظيف حقيبة الملابس بعد العودة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-033-OP001,CLO-033,غسل ملابس العودة من السفر أو النشاط الخارجي,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-034-OP001,CLO-034,كتابة أسماء الأطفال على ملابس المدرسة الجديدة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
CLO-035-OP001,CLO-035,تجهيز ملابس العودة للمدرسة أو العمل,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-036-OP001,CLO-036,تجهيز ملابس الرياضة أو النشاط البدني,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-037-OP001,CLO-037,غسل ملابس الرياضة أو العمل المتسخة بشكل خاص,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-038-OP001,CLO-038,تهوية الملابس قبل ارتدائها أو تعليقها,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-039-OP001,CLO-039,تغيير اللباس الداخلي اليومي,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-040-OP001,CLO-040,غسل اللباس الداخلي والجوارب بشكل منفصل,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-041-OP001,CLO-041,تنظيف وتلميع الأحذية,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-042-OP001,CLO-042,ترتيب الأحذية في مكان التخزين المخصص,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-043-OP001,CLO-043,البحث عن زوج حذاء مناسب للمناسبة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-044-OP001,CLO-044,إصلاح أو صيانة الأحذية التالفة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-045-OP001,CLO-045,تخزين وترتيب الإكسسوارات (أحزمة، أوشحة، ربطات),1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-046-OP001,CLO-046,اختيار إكسسوارات مناسبة للملابس المرتداة,1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,moderate,advanced,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-047-OP001,CLO-047,تغيير ملابس الطفل بعد الحادثات (التبول/التبرز),1,,,معتمد مبدئيًا,Pasted markdown(20).md,advanced,advanced,advanced,advanced,تطابقت الأبعاد الثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف متقدم.,false
CLO-048-OP001,CLO-048,غسل ملابس الأطفال الرضع بشكل منفصل,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
CLO-049-OP001,CLO-049,ترتيب ملابس الأطفال حسب العمر والمقاس,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف متوسط.,false
CLO-050-OP001,CLO-050,تفقد مقاسات الملابس وتحديثها مع نمو الأطفال,1,,,معتمد مبدئيًا,Pasted markdown(20).md,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-001-OP001,COMM-001,خلع الحذاء في المكان المخصص,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
COMM-001-OP002,COMM-001,التوجه إلى مكان الصلاة داخل دار العبادة,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,moderate,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف متوسط.,false
COMM-001-OP003,COMM-001,المشاركة في الشعائر الدينية,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-001-OP004,COMM-001,مغادرة المكان بانتظام,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-002-OP001,COMM-002,تجهيز أغراض النزهة,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,moderate,simple,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم بسيط، الاختيار والتكيف بسيط.,false
COMM-002-OP002,COMM-002,اختيار موقع الجلوس المناسب,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متقدم.,false
COMM-002-OP003,COMM-002,المشاركة في المشي داخل الحديقة,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-002-OP004,COMM-002,جمع الأغراض والمخلفات قبل المغادرة,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-003-OP001,COMM-003,ارتداء الملابس والأحذية المناسبة للمشي,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,simple,moderate,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم بسيط، الاختيار والتكيف متوسط.,false
COMM-003-OP002,COMM-003,اختيار مسار المشي في الحي,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متقدم.,false
COMM-003-OP003,COMM-003,عبور الشارع من الأماكن المخصصة,3,,إشراف مباشر,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,advanced,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متوسط، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-003-OP004,COMM-003,العودة إلى المنزل بعد انتهاء الجولة,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,advanced,advanced,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
COMM-004-OP001,COMM-004,إعداد شيء بسيط يؤخذ للزيارة,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,advanced,advanced,simple,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف متقدم.,false
COMM-004-OP002,COMM-004,طرق الباب أو استخدام الجرس عند الوصول,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,advanced,advanced,advanced,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متقدم، الاختيار والتكيف بسيط.,false
COMM-004-OP003,COMM-004,إلقاء التحية على الأقارب,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-004-OP004,COMM-004,المشاركة في تقديم المساعدة أثناء الزيارة,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,simple,moderate,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف متوسط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-004-OP005,COMM-004,توديع الأقارب عند المغادرة,5,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-005-OP001,COMM-005,تحديد موعد ومكان اللقاء الأسري,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,advanced,advanced,moderate,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف متقدم.,false
COMM-005-OP002,COMM-005,استقبال أفراد الأسرة عند الوصول,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-005-OP003,COMM-005,اختيار مقعد للجلوس مع المجموعة,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متقدم.,false
COMM-005-OP004,COMM-005,توديع أفراد الأسرة بعد انتهاء اللقاء,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,moderate,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-006-OP001,COMM-006,الاطلاع على قائمة المشروبات,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,moderate,تطابقت الأبعاد الثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متوسط.,false
COMM-006-OP002,COMM-006,إبلاغ الموظف بالطلب,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,moderate,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-006-OP003,COMM-006,دفع الحساب,3,,مرافقة,معتمد مبدئيًا,community_opportunities_assistant_2,simple,advanced,simple,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف بسيط.,false
COMM-006-OP004,COMM-006,استلام الطلب والجلوس,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,moderate,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-007-OP001,COMM-007,طلب المساعدة في اختيار طاولة,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,advanced,advanced,simple,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف متقدم.,false
COMM-007-OP002,COMM-007,اختيار الوجبة من القائمة,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متقدم.,false
COMM-007-OP003,COMM-007,إبلاغ النادل بالطلب,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,advanced,simple,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف بسيط.,false
COMM-007-OP004,COMM-007,دفع الحساب عند الانتهاء,4,,إشراف مباشر,معتمد مبدئيًا,community_opportunities_assistant_2,simple,advanced,simple,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف بسيط.,false
COMM-008-OP001,COMM-008,التوجه لاستلام الطلب المحجوز,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,advanced,simple,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متقدم، الترابط والتنظيم بسيط، الاختيار والتكيف بسيط.,false
COMM-008-OP002,COMM-008,إعطاء الاسم أو رقم الطلب للموظف,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,moderate,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-008-OP003,COMM-008,التأكد من محتويات الطلب قبل المغادرة,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,advanced,moderate,simple,حالة حدودية: اختلفت الأبعاد الثلاثة (حجم الدور متقدم، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط)، واعتُمد المستوى المتوسط للمراجعة.,true
COMM-009-OP001,COMM-009,تقديم بطاقة العضوية للاستعلامات,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-009-OP002,COMM-009,البحث عن القسم المراد تصفحه,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,moderate,simple,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم بسيط، الاختيار والتكيف بسيط.,false
COMM-009-OP003,COMM-009,اختيار أماكن الجلوس للقراءة,3,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,moderate,تطابقت الأبعاد الثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متوسط.,false
COMM-009-OP004,COMM-009,إعادة الكتب لمكانها بعد الانتهاء,4,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
COMM-010-OP001,COMM-010,اختيار الكتاب المراد استعارته,1,,,معتمد مبدئيًا,community_opportunities_assistant_2,moderate,moderate,moderate,advanced,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور متوسط، الترابط والتنظيم متوسط، الاختيار والتكيف متقدم.,false
COMM-010-OP002,COMM-010,تقديم البطاقة للموظف لإتمام الإعارة,2,,,معتمد مبدئيًا,community_opportunities_assistant_2,simple,simple,moderate,simple,اعتُمد مستوى بُعدين من ثلاثة: حجم الدور بسيط، الترابط والتنظيم متوسط، الاختيار والتكيف بسيط.,false
